question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
QB-0158,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Are the Certificates renewed frequently? Answer: system updates, vulnerability scans, and security controls are performed regularly, suggesting that certificates are likely maintained as part of this process",Are the Certificates renewed frequently?,"system updates, vulnerability scans, and security controls are performed regularly, suggesting that certificates are likely maintained as part of this process",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,bbInformation Security Standard 2024-02-23-2.pdf - Section: System Updates & Vulnerability Scans (Page 8),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23-2.pdf - Section: System Updates & Vulnerability Scans (Page 8)""}"
QB-0159,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Are the logs retention aligned with B&B requirements (6 months)? Answer: Yes, logs are retained according to a minimum 6-month policy as per security standards",Are the logs retention aligned with B&B requirements (6 months)?,"Yes, logs are retained according to a minimum 6-month policy as per security standards",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,bbInformation Security Standard 2024-02-23.pdf - Section: Log Retention Policy (Page 19),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Logging and monitoring,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Logging and monitoring"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23.pdf - Section: Log Retention Policy (Page 19)""}"
QB-0184,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is Data anonymized in non production environment? Answer: Yes, Tradedoubler uses pseudonymization techniques, including encryption, when handling personal data in environments where data is at risk of exposure. This indicates anonymization is likely implemented in non-production environments",Is Data anonymized in non production environment?,"Yes, Tradedoubler uses pseudonymization techniques, including encryption, when handling personal data in environments where data is at risk of exposure. This indicates anonymization is likely implemented in non-production environments",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,bbTradedoubler TOM June 2024.pdf - Section: Pseudonymization (Page 8),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection; Extracted Q&A,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection; Extracted Q&A"", ""evidence_reference"": ""bbTradedoubler TOM June 2024.pdf - Section: Pseudonymization (Page 8)""}"
QB-0185,Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is Personal Data encrypted in transit over any network? Answer: All fata flows are encrypted (HTTPS only for websites),Is Personal Data encrypted in transit over any network?,All fata flows are encrypted (HTTPS only for websites),Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,"Certificate screenshot, or documentation showing encrypted HTTPS data transfer.",Annexe 4_FR_Security_Review_Questionnaire.xlsm,Data Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Data Management"", ""evidence_reference"": ""Certificate screenshot, or documentation showing encrypted HTTPS data transfer.""}"
QB-0187,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at application level while in transit? Answer: Yes, TLS encryption is used to protect data in transit",Is the data encrypted at application level while in transit?,"Yes, TLS encryption is used to protect data in transit",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,[24:1] bbTradedoubler TOM June 2024.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""[24:1] bbTradedoubler TOM June 2024.pdf""}"
QB-0188,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at rest within storage? Answer: Yes, data processed by a cloud service provider must be encrypted at rest. Tradedoubler enforces encryption standards such as AES-128, AES-192, and AES-256 for symmetric encryption and RSA-2048, ECC-256 for asymmetric encryption",Is the data encrypted at rest within storage?,"Yes, data processed by a cloud service provider must be encrypted at rest. Tradedoubler enforces encryption standards such as AES-128, AES-192, and AES-256 for symmetric encryption and RSA-2048, ECC-256 for asymmetric encryption",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,bbInformation Security Standard 2024-02-23-2.pdf - Section: Encryption (Page 12),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23-2.pdf - Section: Encryption (Page 12)""}"
QB-0189,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at rest within the database? Answer: Yes, databases are secured in compliance with ISO 27001 standards",Is the data encrypted at rest within the database?,"Yes, databases are secured in compliance with ISO 27001 standards",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,[24:1] bbTradedoubler TOM June 2024.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""[24:1] bbTradedoubler TOM June 2024.pdf""}"
QB-0190,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted at the network level while in transit? Answer: Yes, Tradedoubler enforces TLS 1.2 or higher for encrypting data in transit. Additionally, AES-128, AES-192, AES-256, and asymmetric encryption RSA-2048 and ECC-256 are used to secure transmitted data. HSTS flag must also be activated on all internet-facing TLS-based services",Is the data encrypted at the network level while in transit?,"Yes, Tradedoubler enforces TLS 1.2 or higher for encrypting data in transit. Additionally, AES-128, AES-192, AES-256, and asymmetric encryption RSA-2048 and ECC-256 are used to secure transmitted data. HSTS flag must also be activated on all internet-facing TLS-based services",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,bbInformation Security Standard 2024-02-23.pdf - Section: Encryption - TLS Encryption (Page 12),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23.pdf - Section: Encryption - TLS Encryption (Page 12)""}"
QB-0191,"Category: Data Protection & Privacy. Subcategory: Personal Data & Retention. Question: Is the data encrypted in transit using trusted certificates? Answer: Yes, data in transit is protected using TLS 1.2 or higher",Is the data encrypted in transit using trusted certificates?,"Yes, data in transit is protected using TLS 1.2 or higher",Data Protection & Privacy,Personal Data & Retention,yes_no,question,en,[24:1] bbTradedoubler TOM June 2024.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Data Protection,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Data Protection & Privacy"", ""subcategory"": ""Personal Data & Retention"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Data Protection"", ""evidence_reference"": ""[24:1] bbTradedoubler TOM June 2024.pdf""}"
QB-0296,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are locking and logging off mechanisms implemented for inactive sessions? Answer: Yes, session timeout and auto-lock mechanisms are implemented",Are locking and logging off mechanisms implemented for inactive sessions?,"Yes, session timeout and auto-lock mechanisms are implemented",Identity & Access Management,User & Privileged Access,yes_no,question,en,[24:4] bbInformation Security Standard 2024-02-23.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Identity and Access Management"", ""evidence_reference"": ""[24:4] bbInformation Security Standard 2024-02-23.pdf""}"
QB-0302,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the Administrators connecting with MFA? Answer: Yes, multi-factor authentication is mandatory for administrators",Are the Administrators connecting with MFA?,"Yes, multi-factor authentication is mandatory for administrators",Identity & Access Management,User & Privileged Access,yes_no,question,en,[24:1] bbTradedoubler TOM June 2024.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Infrastructure Security"", ""evidence_reference"": ""[24:1] bbTradedoubler TOM June 2024.pdf""}"
QB-0303,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the active sessions disabled after any change to the password? Answer: Yes, active sessions are invalidated after a password change",Are the active sessions disabled after any change to the password?,"Yes, active sessions are invalidated after a password change",Identity & Access Management,User & Privileged Access,yes_no,question,en,[24:4] bbInformation Security Standard 2024-02-23.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Identity and Access Management"", ""evidence_reference"": ""[24:4] bbInformation Security Standard 2024-02-23.pdf""}"
QB-0304,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Are the profiles defined aligned with the least privilege concept? Answer: Yes, Tradedoubler enforces the Least Privilege Principle, ensuring users have only the necessary access for their job. System administrators must ensure users log in only with their own credentials",Are the profiles defined aligned with the least privilege concept?,"Yes, Tradedoubler enforces the Least Privilege Principle, ensuring users have only the necessary access for their job. System administrators must ensure users log in only with their own credentials",Identity & Access Management,User & Privileged Access,yes_no,question,en,bbInformation Security Standard 2024-02-23-1.pdf - Section: Least Privilege Principle (Page 17),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Identity and Access Management"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23-1.pdf - Section: Least Privilege Principle (Page 17)""}"
QB-0320,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Can you confirm compliance with the following requirement: Centralization of authentication directory? Answer: Tradedoubler uses a centralized Active Directory for user and IT access management,Can you confirm compliance with the following requirement: Centralization of authentication directory?,Tradedoubler uses a centralized Active Directory for user and IT access management,Identity & Access Management,User & Privileged Access,compliance_confirmation,requirement,en,[24:3] bbAccess Right Management Standard 20240112.pdf,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""compliance_confirmation"", ""item_type"": ""requirement"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Identity and Access Management"", ""evidence_reference"": ""[24:3] bbAccess Right Management Standard 20240112.pdf""}"
QB-0351,Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Generic accounts must not be authorized unless accountability can be established. Answer: IT & Business : No,Generic accounts must not be authorized unless accountability can be established.,IT & Business : No,Identity & Access Management,User & Privileged Access,mixed,question,en,Extract of Business users and IT users of the application,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Access management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""mixed"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Annexe 4_FR_Security_Review_Questionnaire.xlsm"", ""source_sections"": ""Access management"", ""evidence_reference"": ""Extract of Business users and IT users of the application""}"
QB-0383,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the password entered in clear text and aligned with the customer password policy? (*see sheet ""Password policy"")? Answer: No, passwords must not be stored in clear text. They must meet complexity requirements, including a minimum of 10 characters, numbers, and special characters. Additionally, passwords must not be stored in browsers or written down","Is the password entered in clear text and aligned with the customer password policy? (*see sheet ""Password policy"")?","No, passwords must not be stored in clear text. They must meet complexity requirements, including a minimum of 10 characters, numbers, and special characters. Additionally, passwords must not be stored in browsers or written down",Identity & Access Management,User & Privileged Access,yes_no,question,en,bbInformation Security Standard 2024-02-23-1.pdf - Section: User Password and Account Management (Page 14),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Identity and Access Management"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23-1.pdf - Section: User Password and Account Management (Page 14)""}"
QB-0387,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the session token using a strong cryptographic mechanism? Answer: Tradedoubler enforces strong encryption mechanisms such as AES-128, AES-256, RSA-2048, and SHA2-384 for data protection. It is likely that strong cryptographic mechanisms are used for tokens, but there is no direct reference",Is the session token using a strong cryptographic mechanism?,"Tradedoubler enforces strong encryption mechanisms such as AES-128, AES-256, RSA-2048, and SHA2-384 for data protection. It is likely that strong cryptographic mechanisms are used for tokens, but there is no direct reference",Identity & Access Management,User & Privileged Access,yes_no,question,en,bbInformation Security Standard 2024-02-23.pdf - Section: Encryption (Page 12),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Identity and Access Management"", ""evidence_reference"": ""bbInformation Security Standard 2024-02-23.pdf - Section: Encryption (Page 12)""}"
QB-0388,"Category: Identity & Access Management. Subcategory: User & Privileged Access. Question: Is the user authenticated according to the classification of the asset? Multi-factor authentication must be deployed for assets containing sensitive information.? Answer: Yes, Multi-Factor Authentication (MFA) is required where technically possible for IT services and user authentication",Is the user authenticated according to the classification of the asset? Multi-factor authentication must be deployed for assets containing sensitive information.?,"Yes, Multi-Factor Authentication (MFA) is required where technically possible for IT services and user authentication",Identity & Access Management,User & Privileged Access,yes_no,question,en,bbTradedoubler TOM June 2024.pdf - Section: User Access and Authentication (Page 4),Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Identity and Access Management,Ready,"{""source_file"": ""RFI  RFP Qs_v1.xlsx"", ""sheet"": ""Sheet1"", ""category"": ""Identity & Access Management"", ""subcategory"": ""User & Privileged Access"", ""response_type"": ""yes_no"", ""item_type"": ""question"", ""language"": ""en"", ""source_files"": ""Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx"", ""source_sections"": ""Extracted Q&A; Identity and Access Management"", ""evidence_reference"": ""bbTradedoubler TOM June 2024.pdf - Section: User Access and Authentication (Page 4)""}"
