question_id,category,subcategory,canonical_question,response_type,item_type,language,starter_answer,scope_or_conditions,evidence_reference,readiness_status,source_count,source_files,source_sections,best_answer_source_record,embedding_text,notes_for_manual_completion
QB-0528,Secure Development & Change Management,SDLC & Change Control,Are the changes approved by the code owner?,yes_no,question,en,"Yes, all code changes must be approved by the designated code owner",,bbTradedoubler TOM June 2024.pdf - Section: Change Management (Page 7),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0540,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Are the changes approved by the code owner? Answer: Yes, all code changes must be approved by the designated code owner",
QB-0529,Secure Development & Change Management,SDLC & Change Control,Are the changes to the code source inventoried with the accountability of the Users?,yes_no,question,en,"Yes, all code changes are tracked, and developers are accountable for modifications",,bbTradedoubler TOM June 2024.pdf - Section: Change Management (Page 7),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0539,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Are the changes to the code source inventoried with the accountability of the Users? Answer: Yes, all code changes are tracked, and developers are accountable for modifications",
QB-0531,Secure Development & Change Management,SDLC & Change Control,Are the outputs encoded properly?,yes_no,question,en,"Yes, secure coding practices are followed",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0533,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Are the outputs encoded properly? Answer: Yes, secure coding practices are followed",
QB-0583,Secure Development & Change Management,SDLC & Change Control,Is a GitHub repository available?,yes_no,question,en,Private,,Url vers le git,Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0629,Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Is a GitHub repository available? Answer: Private,
QB-0587,Secure Development & Change Management,SDLC & Change Control,Is the code source protected from unauthorized access?,yes_no,question,en,"Yes, all access to code repositories is restricted and protected by authentication measures",,bbTradedoubler TOM June 2024.pdf - Section: Code Security (Page 7),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0542,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Is the code source protected from unauthorized access? Answer: Yes, all access to code repositories is restricted and protected by authentication measures",
QB-0588,Secure Development & Change Management,SDLC & Change Control,Is the code source stored in code repository?,yes_no,question,en,"Yes, Tradedoubler maintains secure storage of source code and enforces access control policies to restrict unauthorized modifications or access",,bbInformation Security Standard 2024-02-23-1.pdf - Section: Source Code Management (Page 10),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0538,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Is the code source stored in code repository? Answer: Yes, Tradedoubler maintains secure storage of source code and enforces access control policies to restrict unauthorized modifications or access",
QB-0589,Secure Development & Change Management,SDLC & Change Control,Is the integrity of the executables protected?,yes_no,question,en,"Yes, Tradedoubler follows ISO 27001 security compliance, ensuring integrity through security controls, vulnerability scanning, and penetration testing. Additionally, privileged access control mechanisms are enforced to prevent unauthorized changes to executables",,bbInformation Security Standard 2024-02-23-2.pdf - Section: Operations Security - Penetration Tests & Vulnerability Scans (Page 18),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0541,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Is the integrity of the executables protected? Answer: Yes, Tradedoubler follows ISO 27001 security compliance, ensuring integrity through security controls, vulnerability scanning, and penetration testing. Additionally, privileged access control mechanisms are enforced to prevent unauthorized changes to executables",
QB-0590,Secure Development & Change Management,SDLC & Change Control,Is there any mechanisms for sanitization of users input?,yes_no,question,en,"Yes, mechanisms are in place to prevent data injection",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0532,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: Is there any mechanisms for sanitization of users input? Answer: Yes, mechanisms are in place to prevent data injection",
QB-0595,Secure Development & Change Management,SDLC & Change Control,The error messages must not be verbose?,mixed,question,en,"Yes, error messages are designed to limit exposed information",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0535,"Category: Secure Development & Change Management. Subcategory: SDLC & Change Control. Question: The error messages must not be verbose? Answer: Yes, error messages are designed to limit exposed information",
QB-0618,Vulnerability Management & Security Testing,Testing & Remediation,Are the files scanned by antivirus before the upload?,yes_no,question,en,"Yes, Tradedoubler requires all laptops to be installed with local firewall and antivirus software, updated daily with the most recent definitions, with real-time protection activated and a scheduled scan performed weekly. While this applies to endpoints, it suggests a security focus that may extend to file uploads. However, no direct reference to scanning uploaded files was found",,bbTradedoubler TOM June 2024.pdf - Section: Security for Mobile Devices (Page 6),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0534,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Are the files scanned by antivirus before the upload? Answer: Yes, Tradedoubler requires all laptops to be installed with local firewall and antivirus software, updated daily with the most recent definitions, with real-time protection activated and a scheduled scan performed weekly. While this applies to endpoints, it suggests a security focus that may extend to file uploads. However, no direct reference to scanning uploaded files was found",
QB-0619,Vulnerability Management & Security Testing,Testing & Remediation,Are the technical platforms patched?,yes_no,question,en,"Yes, regular updates are applied",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0545,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Are the technical platforms patched? Answer: Yes, regular updates are applied",
QB-0620,Vulnerability Management & Security Testing,Testing & Remediation,Are the technical platforms scanned against vulnerabilities?,yes_no,question,en,"Yes, vulnerability scans and penetration tests are conducted regularly. External vulnerability scans occur monthly, and web application security scans are performed quarterly",,bbInformation Security Standard 2024-02-23.pdf - Section: System Vulnerability Scans (Page 18),Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A,SRC-0584,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Are the technical platforms scanned against vulnerabilities? Answer: Yes, vulnerability scans and penetration tests are conducted regularly. External vulnerability scans occur monthly, and web application security scans are performed quarterly",
QB-0621,Vulnerability Management & Security Testing,Testing & Remediation,Are the technical scanned against vulnerabilities?,yes_no,question,en,"Yes, monthly vulnerability scans and annual penetration tests are performed",,"bbInformation Security Standard 2024-02-23.pdf, section 8.1",Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Infrastructure Security,SRC-0546,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Are the technical scanned against vulnerabilities? Answer: Yes, monthly vulnerability scans and annual penetration tests are performed",
QB-0686,Vulnerability Management & Security Testing,Testing & Remediation,Is the application developed using the OWASP framework?,yes_no,question,en,"Tradedoubler follows ISO 27001 security compliance and performs regular security testing, vulnerability scans, and penetration tests. These measures align with OWASP principles, but there is no direct reference to OWASP as a development framework",,bbInformation Security Standard 2024-02-23-2.pdf - Section: Information Security Compliance with ISO 27001 (Page 4),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0531,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Is the application developed using the OWASP framework? Answer: Tradedoubler follows ISO 27001 security compliance and performs regular security testing, vulnerability scans, and penetration tests. These measures align with OWASP principles, but there is no direct reference to OWASP as a development framework",
QB-0687,Vulnerability Management & Security Testing,Testing & Remediation,Is the application pentested before the Go to the production?,yes_no,question,en,"Yes, penetration testing is performed regularly",,[24:4] bbInformation Security Standard 2024-02-23.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0530,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Is the application pentested before the Go to the production? Answer: Yes, penetration testing is performed regularly",
QB-0688,Vulnerability Management & Security Testing,Testing & Remediation,Is there any DAST realized before the GO in production?,yes_no,question,en,"Yes, a DAST test is performed before production deployment",,[24:1] bbTradedoubler TOM June 2024.pdf,Ready,1,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Software Development Lifecycle,SRC-0529,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Is there any DAST realized before the GO in production? Answer: Yes, a DAST test is performed before production deployment",
QB-0689,Vulnerability Management & Security Testing,Testing & Remediation,Is there any SAST & SCA review during the development?,yes_no,question,en,"Yes, Tradedoubler conducts Static Application Security Testing (SAST) and Software Composition Analysis (SCA) reviews as part of its secure development practices. Monthly vulnerability scans and quarterly web application security scans are conducted",,bbInformation Security Standard 2024-02-23-1.pdf - Section: System Vulnerability Scans (Page 8),Ready,2,Tradedoubler - TobeFilledByProvider - BBH- Interne.xlsx,Extracted Q&A; Software Development Lifecycle,SRC-0528,"Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: Is there any SAST & SCA review during the development? Answer: Yes, Tradedoubler conducts Static Application Security Testing (SAST) and Software Composition Analysis (SCA) reviews as part of its secure development practices. Monthly vulnerability scans and quarterly web application security scans are conducted",
QB-0700,Vulnerability Management & Security Testing,Testing & Remediation,What is the code review process and frequency?,descriptive,question,en,All code peer reviewed as part of development process,,"Méthodologie Scrum, DevOps, Kanban",Ready,1,Annexe 4_FR_Security_Review_Questionnaire.xlsm,Applications details,SRC-0628,Category: Vulnerability Management & Security Testing. Subcategory: Testing & Remediation. Question: What is the code review process and frequency? Answer: All code peer reviewed as part of development process,
