question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
TD-TOM24-0011,"5 Network Security The following network security measures for information assets are implemented: • All external remote access must be approved by Head of IT Operations, can only be performed via a secure VPN connection and is restricted to devices enrolled to Intune and are protected by Microsoft Defender. • All information related to Tradedoubler must remain on Tradedoubler’s network. • All Tradedoubler owned devices must be placed in access-controlled areas where only employees or registered visitors have access. • It is not allowed to store passwords in any browser input completion functionality. • Systems are only allowed to use the principle of least privilege. • Country managers or head of departments are responsible for authorizing users, i.e. create, reassign and terminate users. • All access to development, user acceptance testing, production environments as well as the code base require multi-factor authentication.",,,Technical and Organizational Measures,Page 5,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 5,Tradedoubler TOM June 2024.pdf,Page 5,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 5, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0012,"e. create, reassign and terminate users. • All access to development, user acceptance testing, production environments as well as the code base require multi-factor authentication. Security for Mobile Devices A mobile device (smartphone, tablet or laptop) represents an asset consisting of its hardware, its information content and its abilities to connect to Tradedoubler’s network. Two categories of mobile devices are used within Tradedoubler’s IT environment. These are: • Privately owned • Tradedoubler owned. All rules concerning laptops are also applicable to advanced mobiles and other portable and stationary computers. Privately owned devices are allowed to connect to Tradedoubler’s network, provided that they satisfy the security requirements listed below. • Users are responsible for their privately owned mobile devices, and that they satisfy all the requirements. • To comply with Tradedoubler data protection policy all mobile devices must have Intune Company Portal installed and connected.",,,Technical and Organizational Measures,Page 5,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 5,Tradedoubler TOM June 2024.pdf,Page 5,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 5, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0013,"evices, and that they satisfy all the requirements. • To comply with Tradedoubler data protection policy all mobile devices must have Intune Company Portal installed and connected. • Released patches must always be applied to mobile devices within one week of their release. If the user administers his/her own device, the user is responsible for patching the mobile device. • All sensitive data must be backed up on a SharePoint/Teams repository or on a, by Tradedoubler, appointed solution (e.g., cloud service). • The use of non-approved cloud-based applications to backup Tradedoubler’s data is not allowed. • All laptops must be password protected. • Laptop password shall follow the general password directives regarding complexity. • Mobile phones and tablets shall have screen lock and require at least PIN or biometric authentication. The PIN shall consist of at least 6 digits.",,,Technical and Organizational Measures,Page 5,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 5,Tradedoubler TOM June 2024.pdf,Page 5,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 5, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
TD-TOM24-0014,"6 • All mobile devices must only contain licensed software, acquired by either the owner or the company for whom the owner works. • All mobile devices must have screen lock activated, with a password/PIN/biometric verification after a maximum of 5 minutes inactivity. • All smartphones and tablets must have an account lockout threshold, locking the devices after maximum 10 failed login attempts. • All mobile devices must use full disk encryption. For laptops the password must satisfy the general password requirements regarding complexity. • If any confidential information is stored directly on the mobile devices, then it must be separately encrypted (AES 256 with a password satisfying the general password requirement). • All laptops must be installed with local firewall and antivirus software. The antivirus software must be updated daily with the most recent definitions, have real-time protection activated and a scheduled scan shall be performed on a weekly basis. • The loss of any mobile device must be reported to the nearest manager within one day.",,,Technical and Organizational Measures,Page 6,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 6,Tradedoubler TOM June 2024.pdf,Page 6,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 6, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0015,"ve real-time protection activated and a scheduled scan shall be performed on a weekly basis. • The loss of any mobile device must be reported to the nearest manager within one day. The following information should be given: • Circumstances about the loss. • If the mobile devices were Tradedoubler owned or personal. • Crime Reference Number (if equipment is stolen). • Current information stored on the laptop. • If the information was encrypted or not. • A copy of the police report, if already made. • The loss of other IT-equipment such as data media and prints must be reported to the nearest manager if there are any doubt about the value of lost information or consequences of the loss. • All Tradedoubler laptops with Windows installed should be part of the Tradedoubler domain and thus under the security control of the system administrator. • An employee must not modify, or in any way alter, a Tradedoubler laptop with Microsoft Windows installed without the approval of Corporate IT.",,,Technical and Organizational Measures,Page 6,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 6,Tradedoubler TOM June 2024.pdf,Page 6,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 6, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0016,"ontrol of the system administrator. • An employee must not modify, or in any way alter, a Tradedoubler laptop with Microsoft Windows installed without the approval of Corporate IT. • External connections for incoming traffic are typically set up as firewall, VPN- gateways, terminal services or similar technologies. It is possible to set remote access point with the help of external computers or by opening an internal computer to an external network with the help of an additional cellular or wireless network access card. • Remote access clients must comply with the Tradedoubler security standards. These includes the requirements placed on mobile devices. • Remote logins to Tradedoubler’s network are allowed only via a secure VPN connection having strong authentication mechanism (e.g. combination of IP address plus password or two factor authentication.) • When setting up a VPN connection to Tradedoubler, the default gateway must be set to go through Tradedoubler for all internet access.",,,Technical and Organizational Measures,Page 6,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 6,Tradedoubler TOM June 2024.pdf,Page 6,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 6, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
TD-TOM24-0017,"7 • Storing company documents on home computers is not allowed. If a remote connection is made, any documents handled must remain on Tradedoubler network. Exceptions may be made for public documents. Encryption Tradedoubler only allows the following encryption standards for data at rest and in transit. Symmetric encryption • AES-128 or higher Asymmetric encryption • RSA-2048 or higher • ECC-256 or higher Hash algorithms • SHA2-384 or higher • SHA3 TLS encryption • TLS 1.2 or higher and only high security groups • HSTS flag must be activated on all internet facing TLS-based services Operations Security Tradedoubler has implemented measures to protect against data loss and malware. The measures include, but is not limited to, vulnerability scans, penetration test, regularly system updates, and backups. All systems belonging to Tradedoubler are regularly updated and according to the system supplier’s recommendations. Critical updates for clients are applied within a week from being available.",,,Technical and Organizational Measures,Page 7,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 7,Tradedoubler TOM June 2024.pdf,Page 7,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 7, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0018,"belonging to Tradedoubler are regularly updated and according to the system supplier’s recommendations. Critical updates for clients are applied within a week from being available. Critical updates for servers are applied according to best practices and maintenance schemes for the system, but no later than one month after a patch has been released for production servers. In case of theft, data breach or exposure containing personal data, the CISO or acting CISO will chair an incident response team to handle the incident. The incident response team, together with a forensic team, will analyze and determine the root cause of the incident. The Country Manager is responsible for data breach notifications to advertisers and relevant publishers. The CISO group is responsible for data breach reporting to data authorities. Information Backup Tradedoubler’s IT providers/cloud hosting providers perform backups of all servers and assets according to a pre-defined backup plan decided by Tradedoubler.",,,Technical and Organizational Measures,Page 7,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 7,Tradedoubler TOM June 2024.pdf,Page 7,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 7, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0019,"es. Information Backup Tradedoubler’s IT providers/cloud hosting providers perform backups of all servers and assets according to a pre-defined backup plan decided by Tradedoubler. For critical systems backups are performed daily, for financial systems backups are performed according to the local country’s data financial legislation and for other systems backup are performed in accordance with Tradedoubler’s Business Continuity Plan (BCP) (Tradedoubler’s Recovery Time Objective target is six hours). Restore tests are",,,Technical and Organizational Measures,Page 7,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 7,Tradedoubler TOM June 2024.pdf,Page 7,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 7, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
TD-TOM24-0020,"8 performed by Tradedoubler if self-managed or in accordance with SLA if the system is outsourced at least quarterly. Pseudonymization Where necessary, Tradedoubler uses encryption and other pseudonymization techniques when sending personal data via the Internet, storing personal data on portable devices, and in other situations in which personal data is vulnerable to access by unauthorized persons. Logging For centralized logging purposes Tradedoubler uses OSSEC in the production environment and Microsoft Defender for Microsoft 365. The collected events consist of, at least, IP address, username, action performed and timestamp. At alert thresholds, alerts are distributed to administrators for investigation and possible corrective actions. Incident Management IT Incidents at Tradedoubler are defined as incidents occurring in Tradedoubler’s production environment that negatively affects Tradeoubler’s operations. Incidents are assessed and categorized depending on how they affect Tradoubler’s services.",,,Technical and Organizational Measures,Page 8,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 8,Tradedoubler TOM June 2024.pdf,Page 8,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 8, ""chunk_on_page"": 1, ""chunks_on_page"": 3}"
TD-TOM24-0021,"n Tradedoubler’s production environment that negatively affects Tradeoubler’s operations. Incidents are assessed and categorized depending on how they affect Tradoubler’s services. Management of incidents adhere to the following objectives: • Secure Tradedoubler’s operations. • Minimize incident impact. • Trace steps and decisions taken. Incidents are handled either by the on-call team, corporate IT or the datacenter hosting partner depending on the incident type. If the incident is assessed as a major incident the board is informed and it is handled by Head of Operations, CTO, Head of Corporate IT or the Datacenter hosting partner depending on the incident type. If the incident is classified as a personal data breach, the DPO is informed. The DPO reports the incident to the data protection authority within the country according to GDPR Art. 33. The DPO also informs the data subjects without undue delay according to GDPR Art. 34, if the data breach is likely to result in high risk to the rights and freedoms of natural persons.",,,Technical and Organizational Measures,Page 8,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 8,Tradedoubler TOM June 2024.pdf,Page 8,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 8, ""chunk_on_page"": 2, ""chunks_on_page"": 3}"
TD-TOM24-0022,"DPO also informs the data subjects without undue delay according to GDPR Art. 34, if the data breach is likely to result in high risk to the rights and freedoms of natural persons. The incident is terminated once all problems have been solved and an incident report is written. The report outlines the incident’s background, how it was handled and responsible persons. Reports are used to discuss what caused the incident and how to mitigate incidents in the future. Business Continuity Tradedoubler has outsourced its IT-infrastructure to multiple suppliers, which are supporting Tradedoubler in providing secure and reliable IT-services to Tradedoubler’s customers. In a disaster scenario severely affecting suppliers’ capabilities to fulfil its obligations towards Tradedoubler, the suppliers trigger their own BCP to ensure",,,Technical and Organizational Measures,Page 8,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 8,Tradedoubler TOM June 2024.pdf,Page 8,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 8, ""chunk_on_page"": 3, ""chunks_on_page"": 3}"
TD-TOM24-0023,"9 business continuity for the suppliers’ customers. Tradedoubler have taken internal measures to ensure proactivity if such case occurs and Tradedoubler’s BCP is tested regularly. Procedures for Regular Review, Assessment and Evaluation (Art. 32(1)(d) GDPR; Art. 25(1) GDPR) Data protection, information security and IT security within Tradedoubler are regularly reviewed and continuously approved. Identified information security risks are discussed, addressed and actioned at the monthly Security Council meeting. Vulnerability scans on all external facing system IP addresses belonging to Tradedoubler are performed monthly and the results are presented at the monthly Security Council meeting. Extended vulnerability scans, including web application scans, are performed quarterly and presented at the monthly Security Council meeting. Penetration tests and credential scans are performed annually. GDPR and information security training is performed annually for all Tradedoubler employees.",,,Technical and Organizational Measures,Page 9,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 9,Tradedoubler TOM June 2024.pdf,Page 9,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 9, ""chunk_on_page"": 1, ""chunks_on_page"": 2}"
TD-TOM24-0024,ecurity Council meeting. Penetration tests and credential scans are performed annually. GDPR and information security training is performed annually for all Tradedoubler employees. Tradedoubler conducts Data Protection Impact Assessments (DPIA) when necessary and all system owners need to perform a preliminary assessment before processing begins to assess whether a DPIA is necessary. Tradedoubler performs annual reviews of selected sub processors to ensure that they comply with GDPR.,,,Technical and Organizational Measures,Page 9,document_chunk,chunk,en,Tradedoubler TOM June 2024.pdf - Page 9,Tradedoubler TOM June 2024.pdf,Page 9,Ready,"{""source_file"": ""Tradedoubler TOM June 2024.pdf"", ""doc_title"": ""Tradedoubler TOM June 2024"", ""page"": 9, ""chunk_on_page"": 2, ""chunks_on_page"": 2}"
