question_id,content,canonical_question,starter_answer,category,subcategory,response_type,item_type,language,evidence_reference,source_files,source_sections,readiness_status,metadata_json
ATTACH-00011,"ent or do you use 3rd parties? If so who, and what contractual arrangements/SLAs do you have in place? We own the Production Environment. It is hosted by Evry AB. SLA is 99.95% 32. Under what information classification is the data exchanged with a 3rd party and what security assessments have been conducted with them? N/A",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 4,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 4,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 4"", ""unit_index"": 4, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 4}"
ATTACH-00012,"tradedoubler.com 33. Is the system housed in a data centres - if so who is the hosting provider and location of data centres? Yes, Evry Sweden AB, Location for storage of data is EVRY datacenter c/o InterXion at Esbogatan 11 in Akalla, Sweden, Archived backup data is stored at EVRY datacenter at Virdings Allé 26 in Uppsala, Sweden. 34. If you use a Hosting Provider is there a DR site and how often would you be replicating our data to it? Yes, replicated daily 35. Is the system protected from environmental hazards, fire, flood, etc? Please provide details. Managed by Evry AB Fire detection systems in all server rooms, with fire extinguishing systems adapted for computer rooms. Water pipes isolated and floor/cabinets raised to prevent damage. Access protected by individual access ID and video security systems in place 36. Is the system protected from power and heating issues? Yes 37. Confirmation of management and compliance with software licencing - what process do you adopt to ensure compliance? Server hardware licences managed by Evry AB as part of hosting contract 38.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 5,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 5,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 5"", ""unit_index"": 5, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 5}"
ATTACH-00013,n of management and compliance with software licencing - what process do you adopt to ensure compliance? Server hardware licences managed by Evry AB as part of hosting contract 38. Is there an acceptable use policy on the data exchanged with the 3rd party. N/A 39. How do you adequately assess 3rd party companies? Assessed to GDPR compliance and subject to sub- processor DPAs. Annual risk assessment carried out on 3rd parties 40. What is your Technical Vulnerabilities management process? Vulnerability and penetration scanning performed quarterly and test applications rotated. All scanning performed by external consultants. 41. Describe how you manage patching requirement? Patch scanning in place on all environments 42. What protection do you have against viruses and malicious code? Anti-virus installed. No app servers sit behind firewall and proxies. 43. Are there regular penetration testing and other technical vulnerability assessments. Please provide results from your last Penetration test and name of the assessing company. Yes.,,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 5,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 5,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 5"", ""unit_index"": 5, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 5}"
ATTACH-00014,"Are there regular penetration testing and other technical vulnerability assessments. Please provide results from your last Penetration test and name of the assessing company. Yes. We do not share results of penetration tests externally. Tests performed by Simovits Consulting AB 44. How do you manage backups? Managed by hosting partner, Evry",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 5,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 5,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 5"", ""unit_index"": 5, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 5}"
ATTACH-00015,"tradedoubler.com 45. What is your MTTR SLA? (Mean Time to Repair) For complete disaster recover we have a RTO of 6 hours 46. Do you have an uptime SLA? How is it measured and what was your average last year? We have an uptime SLA of 99.5% for tracking services. 47. How to you manage resilience in both hardware and software components within your Primary and DR sites? Is there adequate hardware/software capacity for a full failover of the current primary site? All hardware virtualized. Full failover between primary and DR sites. Additional cloud capacity available using AWS - we can queue transactions in AWS until we restore our on prem environment 48. Explain how you separate any test and live environments Separate app and web servers for each environment. Separate Database instances between each environment 49. How do you protect web and e-commerce systems and transactions? We do not provide e-commerce systems 50. What services are protected by 2FA and OTP? All access to dev, UAT and production environments require 2FA and a OTP.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 6,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 6,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 6"", ""unit_index"": 6, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 6}"
ATTACH-00016,"ems and transactions? We do not provide e-commerce systems 50. What services are protected by 2FA and OTP? All access to dev, UAT and production environments require 2FA and a OTP. Additionally all access to github for code changes requires 2fa 51. How do you verify identity when resetting passwords? Managed by Active Directory 52. How do you ensure there are adequate secure logon procedures? All logons use unique accounts, logon to environments over SSH using 2FA 53. Do you allow shared account use, if so in what instances? No 54. How frequently do you audit user access? Audit user accounts on a monthly basis, have log scanning for failed login and access attempts using Ossec 55. How do you manage the control of access permissions? Using active directory groups 56. How frequently do you audit administrator and privilege accounts usage? Monthly during CISO group meeting 57. Do you have adequate session disconnection after prolonged use - what is the timeout? 30 minute timeout 58.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 6,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 6,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 6"", ""unit_index"": 6, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 6}"
ATTACH-00017,ator and privilege accounts usage? Monthly during CISO group meeting 57. Do you have adequate session disconnection after prolonged use - what is the timeout? 30 minute timeout 58. What internal departments have access to production systems/storage? How do you control/audit the access? Only Operations have access to production system and storage. Some developers have privileged access. Audited monthly and controlled by active directory,,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 6,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 6,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 6"", ""unit_index"": 6, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 6}"
ATTACH-00018,"tradedoubler.com 59. What network protection controls do you have in place? Layered security protection consists of redundant networks, firewalls protection, internal HIDs, logging utilities, surveillance internal and external tools and services and logging etc. are used to provide network security and they are placed in redundant configuration. 60. Do you use SIEM & Vulnerability scanning tooling in the entirety of your production environment, if not, how do you manage the system events, suspected events and therefore how are thse esculated? Use Ossec on our production environment 61. How do you manage the severity of incidents and therefore the escalation to MADE.COM? We have a defined incident management policy based on applications affected, business impact - each have an assigned SLA. Esclation to advertiser is managed via your Account Management team. 62. What controls do you have to ensure the Privacy of advertiser data? Limited access on a need to know basis, confidentiality clause in employment agreements, information security staff training 63.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 7,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 7,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 7"", ""unit_index"": 7, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 7}"
ATTACH-00019,"you have to ensure the Privacy of advertiser data? Limited access on a need to know basis, confidentiality clause in employment agreements, information security staff training 63. Do you have Application monitoring with adequate protection for the logs and securing of their location? All applications are monitored with access restricted using Active Directory groups and 2FA. Logs are rotated every 3 months 64. Please describe the process. For our tracking, we provide a script or tag which are loaded on your site when a conversion takes place. It is up to your tech team how this tag is implemented. If you load the tags on your web page then we have the ability to track the Users IP when their browser loads a tag from our servers 65. Please list all business units that use or have access to this process or application. Your and Tradedoubler´s tech/implementation teams, your contact person, Tradedoubler´s AM, Tradedoubler´s database team 66.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 7,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 7,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 7"", ""unit_index"": 7, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 7}"
ATTACH-00020,"that use or have access to this process or application. Your and Tradedoubler´s tech/implementation teams, your contact person, Tradedoubler´s AM, Tradedoubler´s database team 66. Are upgrades or updates planned or scheduled for this application/system that would effect the collection, storage, usage, transfers, sharing, and/or destruction of Personal Data in this process or application? If so, please describe. No 67. What is the purpose of collecting this information? To provide you with affiliate marketing incl our tracking technology 68. Do you provide a Privacy Notice at the point of collection? That is managed by Tradedoubler´s publishers as required in Tradedoubler´s GDPR adjusted Publisher agreement 69. Is an appropriate legal transfer mechanisms in place, such as a data transfer agreement or a special contract, for this data collection and transfer? Yes, specified in DPAs with all advertisers and DPAs with Tradedoubler´s sub-processors, personal data is stored in Sweden",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 7,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 7,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 7"", ""unit_index"": 7, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 7}"
ATTACH-00021,"tradedoubler.com 70. What policies or procedures do you follow that guide your collection of Personal Data for this process or application? Stated in our GDPR Client Policy, access on a need to know basis and no longer than necessary 71. Please list all the systems and applications (internal and external) which use, process, or store Personal Data for this process or application. Spaceport, database server, advertiser contact details stored in CRM (Microsoft Dynamics 365) 72. What safeguards do you use to protect Personal Data? Personal data encrypted at rest and in transit by SSL, back-ups, limited retention policies, limited accesses on a need to know basis, regular staff awareness trainings, regular vulnerability, scan and penetration tests by external party, annual reviews of BCP, annual audits of sub-processors, signed DPAs with all oud-processors 73. What policies or procedures do you follow that guide access to Personal Data (e.g., role- based access, functional management approval)? GDPR Client Policy, Access Right Management Standard, Termination check list 74.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 8,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 8,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 8"", ""unit_index"": 8, ""chunk_index"": 1, ""chunks_in_unit"": 3, ""page"": 8}"
ATTACH-00022,"llow that guide access to Personal Data (e.g., role- based access, functional management approval)? GDPR Client Policy, Access Right Management Standard, Termination check list 74. Does the process or application send or receive Personal Data to/from any country outside of the country of origin? If so, please list the countries and associated data. Cookie id, IP no and order no are stored in Sweden, client contact data is stored either in Ireland or Amsterdam 75. Does the application/system interface with a third party system? If so, please provide details. Spaceport is integrated with CRM (advertiser data in Microsoft Dynamics 363) and ERP system for billing (Microsoft Dynamics AX) 76. What steps are taken to review third parties with access to Personal Data (both upon engagement and on an ongoing basis)? Regular audits, due diligence of new sub- processors with access to personal data, signed DPAs with all sub-processors 77. If you store Personal Data, how do you allow the data subject access to their information? See Requests from data subjects manual 78.",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 8,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 8,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 8"", ""unit_index"": 8, ""chunk_index"": 2, ""chunks_in_unit"": 3, ""page"": 8}"
ATTACH-00023,"data, signed DPAs with all sub-processors 77. If you store Personal Data, how do you allow the data subject access to their information? See Requests from data subjects manual 78. Where is the application data hosted? Please give the name of the location/data center or if it is a third party. Cookieid, IP no and order no are stored by Evry in Sweden, advertiser contact details are stored by Microsoft in data centers either located in Ireland or Amsterdam 79. In what type of database/storage is the Personal Data stored (i.e. Oracle, SQL, NAS, SAP, etc.)? Oracle 80. Is the Personal Data archived for a period after the purpose for its collection? If so, where? Cookie ie and IP no are dropped after 6 weeks, order no are stored acc to local bookkeepng laws, stored in Sweden, client contact details are reviewed every 6 months after termination and deleted if not needed any more for account management",,,Attached Source Corpus,PDF | Downloads,document_chunk,chunk,en,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf - Page 8,GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,Page 8,Ready,"{""source_file"": ""GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_path"": ""C:\\Users\\harcol\\Downloads\\GDPR FAQ and GDPR Info Guide_2020-07-09.pdf"", ""source_type"": ""pdf"", ""unit_label"": ""Page 8"", ""unit_index"": 8, ""chunk_index"": 3, ""chunks_in_unit"": 3, ""page"": 8}"
